M P UrF: Unread field: testcases.CWE129_Improper_Validation_of_Array_Index.s02.J10738.gB2G1Private  At J10738.java:[line 34]
M P UrF: Unread field: testcases.CWE129_Improper_Validation_of_Array_Index.s02.J10738.gB2G2Private  At J10738.java:[line 35]
M P UrF: Unread field: testcases.CWE129_Improper_Validation_of_Array_Index.s02.J10738.gG2BPrivate  At J10738.java:[line 36]
M P UrF: Unread field: testcases.CWE129_Improper_Validation_of_Array_Index.s02.J10739.bPrivate  At J10739.java:[line 6]
M D DMI: Hard coded reference to an absolute pathname in testcases.CWE129_Improper_Validation_of_Array_Index.s02.J11014.handle()  At J11014.java:[line 16]
H C NP: Possible null pointer dereference of array in testcases.CWE129_Improper_Validation_of_Array_Index.s02.J11014.handle()  Dereferenced at J11014.java:[line 68]
M D DMI: Hard coded reference to an absolute pathname in testcases.CWE129_Improper_Validation_of_Array_Index.s02.J11015.processB2G1()  At J11015.java:[line 52]
M D DMI: Hard coded reference to an absolute pathname in testcases.CWE129_Improper_Validation_of_Array_Index.s02.J11015.processB2G2()  At J11015.java:[line 115]
H C NP: Possible null pointer dereference of array in testcases.CWE129_Improper_Validation_of_Array_Index.s02.J11015.processB2G1()  Dereferenced at J11015.java:[line 106]
H C NP: Possible null pointer dereference of array in testcases.CWE129_Improper_Validation_of_Array_Index.s02.J11015.processB2G2()  Dereferenced at J11015.java:[line 167]
H C NP: Possible null pointer dereference of array in testcases.CWE129_Improper_Validation_of_Array_Index.s02.J11015.processG2B1()  Dereferenced at J11015.java:[line 25]
H C NP: Possible null pointer dereference of array in testcases.CWE129_Improper_Validation_of_Array_Index.s02.J11015.processG2B2()  Dereferenced at J11015.java:[line 43]
M C RANGE: Array index is out of bounds: -1  At J12224.java:[line 14]
M C RANGE: Array index is out of bounds: -1  At J12225.java:[line 41]
M C RANGE: Array index is out of bounds: -1  At J12225.java:[line 57]
M D UC: Useless object stored in variable array of method testcases.CWE129_Improper_Validation_of_Array_Index.s04.J12498.bS(int)  At J12498.java:[line 45]
M D UC: Method testcases.CWE129_Improper_Validation_of_Array_Index.s04.J12498.bS(int) seems to be useless  At J12498.java:[line 48]
M P UrF: Unread field: testcases.CWE129_Improper_Validation_of_Array_Index.s04.J12498.gB2G1Private  At J12498.java:[line 49]
M P UrF: Unread field: testcases.CWE129_Improper_Validation_of_Array_Index.s04.J12498.gB2G2Private  At J12498.java:[line 50]
M P UrF: Unread field: testcases.CWE129_Improper_Validation_of_Array_Index.s04.J12498.gG2BPrivate  At J12498.java:[line 51]
M D UC: Useless object stored in variable array of method testcases.CWE129_Improper_Validation_of_Array_Index.s04.J12499.gG2BS(int)  At J12499.java:[line 114]
M D UC: Method testcases.CWE129_Improper_Validation_of_Array_Index.s04.J12499.gG2BS(int) seems to be useless  At J12499.java:[line 117]
M P UrF: Unread field: testcases.CWE129_Improper_Validation_of_Array_Index.s04.J12499.bPrivate  At J12499.java:[line 9]
H B DMI: Random object created and used only once in testcases.CWE129_Improper_Validation_of_Array_Index.s04.J12752.handle()  At J12752.java:[line 9]
H D RV: Remainder of 32-bit signed random integer computed in testcases.CWE129_Improper_Validation_of_Array_Index.s04.J12752.handle()  At J12752.java:[line 16]
H B DMI: Random object created and used only once in testcases.CWE129_Improper_Validation_of_Array_Index.s04.J12753.processB2G1()  At J12753.java:[line 41]
H B DMI: Random object created and used only once in testcases.CWE129_Improper_Validation_of_Array_Index.s04.J12753.processB2G2()  At J12753.java:[line 59]
H B DMI: Random object created and used only once in testcases.CWE129_Improper_Validation_of_Array_Index.s05.J12930.handle()  At J12930.java:[line 9]
M D UC: Useless object stored in variable array of method testcases.CWE129_Improper_Validation_of_Array_Index.s05.J12930.handle()  At J12930.java:[line 14]
H B DMI: Random object created and used only once in testcases.CWE129_Improper_Validation_of_Array_Index.s05.J12931.processB2G1()  At J12931.java:[line 33]
H B DMI: Random object created and used only once in testcases.CWE129_Improper_Validation_of_Array_Index.s05.J12931.processB2G2()  At J12931.java:[line 51]
M D UC: Useless object stored in variable array of method testcases.CWE129_Improper_Validation_of_Array_Index.s05.J12931.processG2B1()  At J12931.java:[line 14]
M D UC: Useless object stored in variable array of method testcases.CWE129_Improper_Validation_of_Array_Index.s05.J12931.processG2B2()  At J12931.java:[line 26]
H D UC: Method testcases.CWE129_Improper_Validation_of_Array_Index.s05.J12931.processG2B1() seems to be useless  At J12931.java:[line 17]
H D UC: Method testcases.CWE129_Improper_Validation_of_Array_Index.s05.J12931.processG2B2() seems to be useless  At J12931.java:[line 29]
